id,titulo,tipo,genero,ano,rating,duracion,plataforma,idioma,pais,director,clasificacion,votos,presupuesto,ingresos,ganancias,actor_principal,estudio,fecha_estreno,sinopsis
19412,FastAPI veloz (2020),Película,"C.Ficción, Comedia, Acción",2020,7.2,157,Prime Video,Inglés,Japón,Hayao Miyazaki,PG,2392156,150.1,94.1,-56.0,Leonardo DiCaprio,Marvel Studios,2020-05-12,Un análisis profundo del impacto social e histórico de las grandes eras.
19413,La vida en la nube Vol. 1,Serie,Romance,1971,6.7,54,"Prime Video, Disney+",Inglés,USA,Steven Spielberg,PG-13,439591,45.6,27.5,-18.1,Robert Downey Jr.,Walt Disney Studios,1971-10-22,Un misterio escalofriante que desvela secretos familiares ocultos.
19414,Crónicas de Git (2021),Película,"Acción, Aventura, Suspenso",2021,7.8,100,"Apple TV+, Disney+",Portugués,Japón,Christopher Nolan,PG-13,1382395,186.6,801.2,614.6,Morgan Freeman,Netflix Studio,2021-10-13,Un análisis profundo del impacto social e histórico de las grandes eras.
19415,Inception: Loop Infinito Vol. 1,Película,"Comedia, Aventura, C.Ficción",2008,9.4,183,"Apple TV+, Netflix",Español,Canadá,Quentin Tarantino,G,1106029,23.5,45.7,22.2,Matthew McConaughey,Walt Disney Studios,2008-10-22,Un drama conmovedor que explora los límites de la mente y la tecnología.
19416,El Heatmap del Destino Vol. 4,Serie,"Aventura, Documental, Drama",1976,5.9,27,Apple TV+,Español,México,Martin Scorsese,NC-17,1422635,52.1,84.3,32.2,Joaquin Phoenix,Warner Bros.,1976-10-07,Un viaje fantástico a través de dimensiones inexploradas del universo.
19417,Parque de Servidores (1978),Serie,"Comedia, Fantasía, Aventura",1978,8.4,37,Netflix,Inglés,USA,Denis Villeneuve,R,685074,89.0,306.1,217.1,Robert Downey Jr.,Paramount Pictures,1978-03-26,Un análisis profundo del impacto social e histórico de las grandes eras.
19418,La lista de bugs (2012),Serie,"Documental, Romance",2012,9.8,33,"Disney+, Prime Video",Portugués,USA,Quentin Tarantino,PG-13,1154455,33.2,42.4,9.2,Leonardo DiCaprio,Columbia Pictures,2012-02-24,Un misterio escalofriante que desvela secretos familiares ocultos.
19419,Django desencadenado Vol. 4,Serie,"Aventura, Suspenso",1996,3.2,60,HBO Max,Portugués,Francia,Guillermo del Toro,R,2458875,17.2,45.6,28.4,Leonardo DiCaprio,Columbia Pictures,1996-03-04,Un viaje fantástico a través de dimensiones inexploradas del universo.
19420,Avatar: Renderizado Vol. 3,Serie,"Romance, Comedia, Suspenso",1983,5.5,27,"HBO Max, Apple TV+",Alemán,España,Hayao Miyazaki,NC-17,2316399,190.3,405.1,214.8,Natalie Portman,Paramount Pictures,1983-01-04,Un viaje fantástico a través de dimensiones inexploradas del universo.
19421,El precio del servidor (2014),Serie,"Romance, Fantasía, Acción",2014,9.4,26,"Apple TV+, Prime Video",Español,Francia,Hayao Miyazaki,PG,244007,147.2,65.9,-81.3,Scarlett Johansson,A24,2014-08-15,Un misterio escalofriante que desvela secretos familiares ocultos.
19422,El precio del servidor Vol. 4,Serie,Drama,2016,8.9,52,Disney+,Francés,Japón,Hayao Miyazaki,NC-17,476393,237.7,783.0,545.3,Tom Hanks,Netflix Studio,2016-09-25,Un drama conmovedor que explora los límites de la mente y la tecnología.
19423,Juego de Servidores (1982),Película,"Romance, C.Ficción, Acción",1982,7.2,105,"Prime Video, Disney+",Portugués,USA,Hayao Miyazaki,PG,32272,83.5,326.5,243.0,Natalie Portman,A24,1982-01-18,Un viaje fantástico a través de dimensiones inexploradas del universo.
19424,Cazadores de código (2009),Película,Terror,2009,9.2,194,"HBO Max, Disney+",Alemán,USA,James Cameron,PG,984560,249.0,788.9,539.9,Meryl Streep,Netflix Studio,2009-06-16,Una comedia hilarante sobre las complejidades de la vida cotidiana.
19425,Código de honor (1993),Película,"Romance, Suspenso",1993,7.1,173,Apple TV+,Portugués,Canadá,Steven Spielberg,PG-13,322482,31.5,32.1,0.6,Matthew McConaughey,Warner Bros.,1993-06-03,Un viaje fantástico a través de dimensiones inexploradas del universo.
19426,El rey algoritmo (1992),Película,Acción,1992,7.6,152,Prime Video,Alemán,Canadá,Hayao Miyazaki,R,1481411,199.9,273.6,73.7,Morgan Freeman,Columbia Pictures,1992-05-27,Un viaje fantástico a través de dimensiones inexploradas del universo.
19427,El secreto de los datos Vol. 2,Película,"Drama, Suspenso, Romance",2021,4.8,109,"Apple TV+, HBO Max",Español,Canadá,Martin Scorsese,PG,2455803,93.0,215.1,122.1,Cillian Murphy,Universal Pictures,2021-03-13,Una comedia hilarante sobre las complejidades de la vida cotidiana.
19428,Interstellar II (2018),Película,Romance,2018,8.7,181,"Apple TV+, HBO Max",Francés,Japón,Steven Spielberg,PG-13,2430089,79.8,281.3,201.5,Morgan Freeman,Netflix Studio,2018-01-12,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
19429,Donut Chart Adventure Vol. 3,Película,Crimen,2008,6.9,121,Netflix,Francés,Francia,Denis Villeneuve,PG-13,1657242,59.6,115.6,56.0,Cillian Murphy,Universal Pictures,2008-11-07,Un misterio escalofriante que desvela secretos familiares ocultos.
19430,El silencio de los compiladores (1994),Serie,"Crimen, Documental",1994,5.3,64,Prime Video,Inglés,USA,Christopher Nolan,PG,2009300,48.9,145.5,96.6,Brad Pitt,Universal Pictures,1994-06-11,Una comedia hilarante sobre las complejidades de la vida cotidiana.
19431,La terminal de los secretos Vol. 4,Serie,"Terror, Aventura, C.Ficción",2024,3.1,33,"HBO Max, Prime Video",Francés,Reino Unido,Christopher Nolan,PG-13,57467,123.4,145.4,22.0,Meryl Streep,Columbia Pictures,2024-07-01,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
19432,El Club de la Computación (1992),Serie,"C.Ficción, Documental",1992,6.6,46,HBO Max,Español,Japón,James Cameron,NC-17,2279408,61.6,49.5,-12.1,Natalie Portman,Universal Pictures,1992-10-05,Un viaje fantástico a través de dimensiones inexploradas del universo.
19433,Los señores del algoritmo (1985),Serie,Aventura,1985,8.4,33,"Apple TV+, Disney+",Francés,España,James Cameron,PG-13,1101879,6.3,10.9,4.6,Cillian Murphy,Paramount Pictures,1985-09-21,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
19434,La milla de código Vol. 2,Película,Fantasía,2009,4.7,82,Prime Video,Francés,Francia,Denis Villeneuve,R,346188,195.2,70.7,-124.5,Brad Pitt,Walt Disney Studios,2009-08-18,Una comedia hilarante sobre las complejidades de la vida cotidiana.
19435,Inception: Loop Infinito Vol. 3,Serie,"Acción, Drama, Fantasía",2004,5.9,55,Prime Video,Portugués,Reino Unido,Christopher Nolan,R,163479,203.4,805.7,602.3,Cillian Murphy,Universal Pictures,2004-11-24,Un misterio escalofriante que desvela secretos familiares ocultos.
19436,La red de la IA Vol. 2,Película,Crimen,1986,8.3,167,Prime Video,Francés,Reino Unido,James Cameron,PG-13,1545544,139.8,569.1,429.3,Tom Hanks,Netflix Studio,1986-03-09,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
19437,El Club de la Computación Vol. 3,Película,"Terror, Documental",1973,4.5,144,HBO Max,Francés,Reino Unido,Christopher Nolan,NC-17,612977,158.0,402.1,244.1,Christian Bale,Columbia Pictures,1973-05-21,Un drama conmovedor que explora los límites de la mente y la tecnología.
19438,El Resplandor del Monitor Vol. 2,Serie,Terror,1998,5.0,32,"Disney+, Netflix",Portugués,USA,Quentin Tarantino,NC-17,1220148,84.3,377.4,293.1,Joaquin Phoenix,Universal Pictures,1998-12-28,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
19439,El Heatmap del Destino Vol. 3,Película,"Crimen, Acción",2006,8.9,106,"Prime Video, Apple TV+",Alemán,Japón,Christopher Nolan,R,965064,180.8,210.0,29.2,Christian Bale,Walt Disney Studios,2006-10-27,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
19440,Django desencadenado (1991),Película,"Acción, Romance, Terror",1991,2.8,84,Netflix,Inglés,Canadá,Steven Spielberg,G,1855857,176.7,143.4,-33.3,Meryl Streep,Marvel Studios,1991-06-13,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
19441,Pandas salvajes Vol. 3,Serie,Suspenso,1998,4.1,22,"HBO Max, Netflix",Portugués,Reino Unido,James Cameron,NC-17,437273,206.0,742.4,536.4,Leonardo DiCaprio,Marvel Studios,1998-12-27,Una comedia hilarante sobre las complejidades de la vida cotidiana.
19442,La lista de bugs Vol. 3,Serie,"Comedia, Crimen, Fantasía",1989,6.1,50,Apple TV+,Alemán,España,Hayao Miyazaki,G,996267,241.1,151.3,-89.8,Leonardo DiCaprio,Warner Bros.,1989-11-10,Un misterio escalofriante que desvela secretos familiares ocultos.
19443,Código de honor (1972),Serie,Fantasía,1972,6.8,25,Apple TV+,Inglés,México,Christopher Nolan,NC-17,487011,241.9,442.2,200.3,Meryl Streep,Columbia Pictures,1972-10-13,Un viaje fantástico a través de dimensiones inexploradas del universo.
19444,Matrix Reloaded in Python (1985),Serie,Comedia,1985,8.4,64,Prime Video,Francés,Japón,Martin Scorsese,PG-13,1018517,246.2,288.5,42.3,Tom Hanks,Paramount Pictures,1985-05-17,Un análisis profundo del impacto social e histórico de las grandes eras.
19445,El silencio de los compiladores Vol. 1,Serie,Comedia,2021,5.8,52,"HBO Max, Prime Video",Francés,México,Steven Spielberg,R,2281125,186.4,199.2,12.8,Morgan Freeman,Walt Disney Studios,2021-07-28,Un misterio escalofriante que desvela secretos familiares ocultos.
19446,Interstellar II (1978),Serie,"Comedia, Crimen",1978,8.8,44,"Prime Video, HBO Max",Inglés,Japón,Martin Scorsese,PG-13,1849073,165.2,194.4,29.2,Morgan Freeman,Paramount Pictures,1978-01-05,Un drama conmovedor que explora los límites de la mente y la tecnología.
19447,El Club de la Computación (1971),Serie,"Acción, Documental",1971,5.5,43,"Disney+, HBO Max",Francés,Reino Unido,Denis Villeneuve,PG-13,367963,105.9,182.8,76.9,Tom Hanks,Netflix Studio,1971-03-27,Un drama conmovedor que explora los límites de la mente y la tecnología.
19448,Pulp Python Vol. 2,Serie,"Crimen, Suspenso",1995,6.5,21,"Netflix, Apple TV+",Alemán,México,Denis Villeneuve,NC-17,2061179,115.0,181.0,66.0,Matthew McConaughey,Universal Pictures,1995-06-19,Una comedia hilarante sobre las complejidades de la vida cotidiana.
19449,El Club de la Computación Vol. 2,Serie,"Comedia, C.Ficción",2015,5.8,37,Netflix,Portugués,Francia,James Cameron,PG-13,46712,92.5,380.9,288.4,Christian Bale,Warner Bros.,2015-11-15,Un viaje fantástico a través de dimensiones inexploradas del universo.
19450,Juego de Servidores (2005),Película,Documental,2005,7.8,117,Disney+,Inglés,Japón,James Cameron,PG-13,2191412,223.6,747.5,523.9,Christian Bale,Netflix Studio,2005-09-12,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
19451,Titanic: Bug Hundido Vol. 1,Película,Fantasía,2012,8.9,182,"Netflix, Apple TV+",Alemán,Francia,James Cameron,R,2375726,98.2,118.0,19.8,Christian Bale,Universal Pictures,2012-07-16,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
19452,La lista de bugs (2024),Película,Documental,2024,8.1,142,"Apple TV+, Disney+",Francés,España,Martin Scorsese,NC-17,1438789,29.0,54.4,25.4,Christian Bale,Warner Bros.,2024-09-28,Un drama conmovedor que explora los límites de la mente y la tecnología.
19453,El Resplandor del Monitor (1995),Serie,"Fantasía, Comedia, Romance",1995,8.6,38,"Netflix, Apple TV+",Español,Canadá,Christopher Nolan,PG,1655954,145.0,493.7,348.7,Matthew McConaughey,Marvel Studios,1995-06-23,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
19454,El silencio de los compiladores Vol. 2,Película,"Comedia, Drama",2017,5.7,191,Netflix,Francés,España,James Cameron,PG-13,1535426,171.0,563.5,392.5,Scarlett Johansson,Paramount Pictures,2017-04-05,Un análisis profundo del impacto social e histórico de las grandes eras.
19455,Pandas salvajes (1987),Serie,"Comedia, Drama, Crimen",1987,4.5,31,"Disney+, Netflix",Español,USA,Quentin Tarantino,G,1762038,70.6,65.1,-5.5,Joaquin Phoenix,Warner Bros.,1987-03-03,Un viaje fantástico a través de dimensiones inexploradas del universo.
19456,Búsqueda Binaria (1991),Serie,Suspenso,1991,9.2,33,Apple TV+,Inglés,México,Hayao Miyazaki,PG-13,75588,50.3,212.6,162.3,Tom Hanks,Paramount Pictures,1991-06-22,Un drama conmovedor que explora los límites de la mente y la tecnología.
19457,Código de honor (2011),Película,"Acción, Comedia",2011,9.0,80,Disney+,Alemán,España,Guillermo del Toro,PG-13,1433812,76.3,181.2,104.9,Brad Pitt,Marvel Studios,2011-03-10,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
19458,Matrix Reloaded in Python Vol. 4,Película,Drama,2020,7.1,163,"Apple TV+, Netflix",Español,España,Quentin Tarantino,G,1665983,229.6,879.1,649.5,Meryl Streep,Paramount Pictures,2020-05-28,Una comedia hilarante sobre las complejidades de la vida cotidiana.
19459,Donut Chart Adventure Vol. 2,Película,Comedia,2008,8.8,125,Prime Video,Alemán,Canadá,Guillermo del Toro,R,339213,32.3,67.4,35.1,Christian Bale,Walt Disney Studios,2008-03-01,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
19460,Forrest Git Vol. 3,Serie,Crimen,1972,6.5,32,Netflix,Portugués,Reino Unido,Steven Spielberg,R,2266776,249.3,848.9,599.6,Cillian Murphy,Marvel Studios,1972-05-19,Un drama conmovedor que explora los límites de la mente y la tecnología.
19461,Donut Chart Adventure (2023),Serie,"Comedia, Drama",2023,4.9,54,"HBO Max, Prime Video",Francés,Canadá,Guillermo del Toro,R,1822120,56.8,186.2,129.4,Brad Pitt,Walt Disney Studios,2023-07-03,Una comedia hilarante sobre las complejidades de la vida cotidiana.
19462,Pandas salvajes Vol. 4,Película,"Acción, Suspenso, Crimen",1994,7.9,180,Prime Video,Portugués,Canadá,Guillermo del Toro,PG,2146063,35.5,11.1,-24.4,Matthew McConaughey,Paramount Pictures,1994-09-03,Un misterio escalofriante que desvela secretos familiares ocultos.
19463,El Resplandor del Monitor (2016),Serie,"Aventura, Documental, Drama",2016,5.1,31,HBO Max,Inglés,Francia,Christopher Nolan,NC-17,1598431,39.3,64.9,25.6,Joaquin Phoenix,Universal Pictures,2016-02-27,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
19464,La red de la IA Vol. 1,Serie,Crimen,1972,5.9,58,"Prime Video, Apple TV+",Español,Reino Unido,Guillermo del Toro,R,701806,151.3,315.0,163.7,Scarlett Johansson,Universal Pictures,1972-07-08,Un análisis profundo del impacto social e histórico de las grandes eras.
19465,Búsqueda Binaria Vol. 3,Película,"C.Ficción, Romance",1991,7.9,186,Prime Video,Inglés,Japón,Quentin Tarantino,NC-17,2316739,245.4,260.3,14.9,Natalie Portman,Walt Disney Studios,1991-04-19,Un viaje fantástico a través de dimensiones inexploradas del universo.
19466,El silencio de los compiladores (1972),Serie,"Romance, Comedia",1972,9.5,20,"Prime Video, Netflix",Español,Reino Unido,Hayao Miyazaki,NC-17,1486687,59.4,262.4,203.0,Scarlett Johansson,Paramount Pictures,1972-03-28,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
19467,Pulp Python Vol. 1,Película,"Romance, Comedia, Documental",1980,5.5,90,Netflix,Portugués,Canadá,Quentin Tarantino,G,1551680,166.2,258.9,92.7,Christian Bale,Netflix Studio,1980-11-20,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
19468,Gladiador del backend Vol. 3,Serie,Aventura,2013,5.3,53,"HBO Max, Apple TV+",Alemán,Reino Unido,Guillermo del Toro,PG-13,908947,173.8,439.7,265.9,Matthew McConaughey,Columbia Pictures,2013-11-17,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
19469,En busca del commit perdido Vol. 2,Serie,"Fantasía, Suspenso",1993,4.9,26,Netflix,Francés,Japón,Denis Villeneuve,PG,1124070,137.6,600.2,462.6,Meryl Streep,Universal Pictures,1993-08-23,Una comedia hilarante sobre las complejidades de la vida cotidiana.
19470,Parque de Servidores Vol. 3,Película,Acción,1981,8.1,85,Disney+,Portugués,Japón,James Cameron,PG-13,1112302,223.9,325.3,101.4,Cillian Murphy,Universal Pictures,1981-06-28,Un misterio escalofriante que desvela secretos familiares ocultos.
19471,Stranger Code Vol. 1,Serie,"C.Ficción, Drama",1975,7.9,20,"Netflix, Prime Video",Portugués,Reino Unido,Guillermo del Toro,NC-17,1531874,158.9,509.6,350.7,Meryl Streep,Marvel Studios,1975-11-04,Un misterio escalofriante que desvela secretos familiares ocultos.
19472,La casa de código (2000),Película,"Suspenso, Acción",2000,5.8,198,Disney+,Alemán,Japón,Martin Scorsese,PG-13,2104630,159.2,569.0,409.8,Natalie Portman,Walt Disney Studios,2000-01-27,Una comedia hilarante sobre las complejidades de la vida cotidiana.
19473,Stranger Code Vol. 2,Serie,Crimen,2023,7.6,36,Prime Video,Portugués,Japón,Steven Spielberg,R,282126,89.6,165.6,76.0,Natalie Portman,Universal Pictures,2023-01-05,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
19474,El Club de la Computación (1992),Serie,"Acción, C.Ficción, Suspenso",1992,8.3,64,Apple TV+,Inglés,Canadá,Guillermo del Toro,G,1770718,191.4,418.0,226.6,Christian Bale,Warner Bros.,1992-08-03,Un análisis profundo del impacto social e histórico de las grandes eras.
19475,Batman: El programador de la noche Vol. 1,Serie,"Acción, Romance",1970,8.4,63,HBO Max,Francés,Japón,Steven Spielberg,PG-13,2235351,164.9,115.4,-49.5,Brad Pitt,A24,1970-07-20,Una comedia hilarante sobre las complejidades de la vida cotidiana.
19476,Parque de Servidores Vol. 3,Serie,Drama,2004,9.3,48,HBO Max,Francés,España,Hayao Miyazaki,PG-13,1838959,226.7,768.2,541.5,Scarlett Johansson,A24,2004-10-14,Una comedia hilarante sobre las complejidades de la vida cotidiana.
19477,Crónicas de Git (1970),Película,"Documental, Comedia",1970,6.8,84,Netflix,Inglés,USA,Quentin Tarantino,R,2387059,247.7,760.7,513.0,Meryl Streep,Warner Bros.,1970-01-23,Un análisis profundo del impacto social e histórico de las grandes eras.
19478,Código de honor Vol. 3,Película,"Romance, Terror, C.Ficción",2014,6.0,172,"Netflix, Disney+",Español,Canadá,Denis Villeneuve,G,1171243,120.6,471.0,350.4,Christian Bale,Columbia Pictures,2014-10-25,Un misterio escalofriante que desvela secretos familiares ocultos.
19479,Django desencadenado Vol. 3,Serie,Crimen,2026,6.4,28,"Apple TV+, HBO Max",Inglés,España,Denis Villeneuve,R,2110585,190.8,534.0,343.2,Scarlett Johansson,Netflix Studio,2026-12-01,Un drama conmovedor que explora los límites de la mente y la tecnología.
19480,Gladiador del backend Vol. 3,Película,Terror,2024,7.1,208,Prime Video,Portugués,USA,Christopher Nolan,R,714869,48.0,129.6,81.6,Christian Bale,Walt Disney Studios,2024-10-17,Una comedia hilarante sobre las complejidades de la vida cotidiana.
19481,La red de la IA Vol. 2,Serie,Comedia,1983,5.1,20,"Apple TV+, Netflix",Español,México,Christopher Nolan,R,2124043,225.2,598.1,372.9,Brad Pitt,A24,1983-10-08,Un drama conmovedor que explora los límites de la mente y la tecnología.
19482,Inception: Loop Infinito Vol. 1,Película,"Terror, Aventura",1996,7.4,160,Disney+,Alemán,Francia,Christopher Nolan,G,783236,67.9,27.5,-40.4,Scarlett Johansson,Walt Disney Studios,1996-07-24,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
19483,El rey algoritmo Vol. 3,Serie,"Suspenso, Comedia",1979,8.3,28,HBO Max,Alemán,Francia,Guillermo del Toro,PG,2123696,223.4,838.6,615.2,Meryl Streep,Paramount Pictures,1979-12-01,Un misterio escalofriante que desvela secretos familiares ocultos.
19484,El rey algoritmo Vol. 1,Película,Documental,2010,5.6,184,Apple TV+,Francés,España,Quentin Tarantino,NC-17,2388409,46.2,73.8,27.6,Robert Downey Jr.,A24,2010-04-18,Un misterio escalofriante que desvela secretos familiares ocultos.
19485,Donut Chart Adventure Vol. 2,Película,Drama,1989,6.0,176,"Netflix, Disney+",Francés,USA,Denis Villeneuve,NC-17,2309904,165.2,685.4,520.2,Scarlett Johansson,A24,1989-10-24,Una comedia hilarante sobre las complejidades de la vida cotidiana.
19486,Interstellar II (2005),Película,"Documental, Romance",2005,8.5,145,"Netflix, Apple TV+",Inglés,España,Hayao Miyazaki,PG-13,937689,84.6,241.4,156.8,Christian Bale,Netflix Studio,2005-11-28,Un drama conmovedor que explora los límites de la mente y la tecnología.
19487,Cazadores de código Vol. 3,Serie,Romance,2011,9.4,40,Disney+,Francés,USA,Quentin Tarantino,PG-13,1917807,150.7,349.1,198.4,Brad Pitt,Marvel Studios,2011-12-07,Un análisis profundo del impacto social e histórico de las grandes eras.
19488,La milla de código Vol. 4,Película,"Comedia, Suspenso, C.Ficción",2016,8.2,91,HBO Max,Alemán,Canadá,Martin Scorsese,NC-17,598336,22.1,49.8,27.7,Meryl Streep,Walt Disney Studios,2016-06-24,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
19489,Cazadores de código (2022),Película,"Aventura, Acción, C.Ficción",2022,7.8,184,"Netflix, HBO Max",Español,Francia,James Cameron,NC-17,2394987,248.2,347.9,99.7,Joaquin Phoenix,A24,2022-05-25,Una comedia hilarante sobre las complejidades de la vida cotidiana.
19490,El Club de la Computación (1978),Serie,Romance,1978,6.9,49,Netflix,Inglés,USA,Christopher Nolan,NC-17,2003922,248.0,166.7,-81.3,Tom Hanks,Walt Disney Studios,1978-12-28,Un misterio escalofriante que desvela secretos familiares ocultos.
19491,Titanic: Bug Hundido (1983),Película,"Comedia, Terror, Romance",1983,9.3,175,HBO Max,Portugués,Canadá,Guillermo del Toro,PG,2216474,44.0,173.5,129.5,Brad Pitt,Columbia Pictures,1983-02-24,Un análisis profundo del impacto social e histórico de las grandes eras.
19492,La milla de código (2014),Película,"Documental, Fantasía, Acción",2014,6.8,176,Prime Video,Inglés,España,Guillermo del Toro,R,1971591,156.4,316.0,159.6,Joaquin Phoenix,Universal Pictures,2014-02-20,Un viaje fantástico a través de dimensiones inexploradas del universo.
19493,La lista de bugs (1991),Película,"Terror, Documental, Acción",1991,9.2,92,"Netflix, Apple TV+",Francés,Canadá,Steven Spielberg,NC-17,944210,133.5,294.5,161.0,Cillian Murphy,Marvel Studios,1991-06-22,Un análisis profundo del impacto social e histórico de las grandes eras.
19494,Batman: El programador de la noche Vol. 3,Película,"Documental, Acción, Romance",2003,9.5,149,"HBO Max, Disney+",Español,Japón,James Cameron,PG,1617467,146.7,624.5,477.8,Meryl Streep,Paramount Pictures,2003-02-22,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
19495,Forrest Git (1998),Película,Drama,1998,9.2,145,Prime Video,Alemán,Francia,Denis Villeneuve,NC-17,1146055,93.8,43.3,-50.5,Scarlett Johansson,Universal Pictures,1998-12-17,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
19496,Parque de Servidores (2005),Serie,"Romance, Suspenso",2005,5.8,59,"Netflix, HBO Max",Alemán,España,Martin Scorsese,PG-13,986188,197.8,420.9,223.1,Meryl Streep,A24,2005-08-25,Una comedia hilarante sobre las complejidades de la vida cotidiana.
19497,El precio del servidor (1980),Serie,Aventura,1980,5.4,56,Disney+,Español,Canadá,Christopher Nolan,PG-13,2197365,37.2,84.1,46.9,Leonardo DiCaprio,Warner Bros.,1980-05-15,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
19498,Interstellar II (1975),Serie,Drama,1975,6.1,36,Netflix,Español,Japón,Guillermo del Toro,PG-13,646973,54.7,125.3,70.6,Brad Pitt,A24,1975-01-11,Un drama conmovedor que explora los límites de la mente y la tecnología.
19499,El precio del servidor Vol. 1,Serie,C.Ficción,1999,7.1,61,HBO Max,Alemán,Reino Unido,Steven Spielberg,R,2116202,68.7,220.3,151.6,Brad Pitt,Marvel Studios,1999-11-06,Una comedia hilarante sobre las complejidades de la vida cotidiana.
19500,El Club de la Computación Vol. 3,Serie,"Terror, Acción, Drama",2014,7.8,49,"Prime Video, Netflix",Portugués,Canadá,Christopher Nolan,R,1939702,34.8,106.6,71.8,Tom Hanks,Warner Bros.,2014-02-25,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
19501,Inception: Loop Infinito (2003),Película,Suspenso,2003,9.6,88,"Prime Video, Apple TV+",Portugués,USA,Christopher Nolan,G,2264663,216.0,835.5,619.5,Brad Pitt,Universal Pictures,2003-08-21,Un misterio escalofriante que desvela secretos familiares ocultos.
19502,El Padrino del código Vol. 3,Serie,"Crimen, Suspenso",1970,6.6,51,Prime Video,Inglés,Canadá,Steven Spielberg,NC-17,2469975,115.8,490.8,375.0,Matthew McConaughey,Columbia Pictures,1970-03-02,Un misterio escalofriante que desvela secretos familiares ocultos.
19503,Parque de Servidores Vol. 1,Película,"Crimen, Acción, Fantasía",2016,6.5,163,"Disney+, HBO Max",Alemán,USA,Christopher Nolan,NC-17,533065,171.5,449.2,277.7,Brad Pitt,Warner Bros.,2016-03-12,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
19504,La vida en la nube (1983),Película,Aventura,1983,9.6,144,Disney+,Francés,México,Hayao Miyazaki,NC-17,1249147,140.0,185.5,45.5,Brad Pitt,Universal Pictures,1983-06-08,Un viaje fantástico a través de dimensiones inexploradas del universo.
19505,La vida en la nube Vol. 4,Película,"Suspenso, Fantasía, C.Ficción",2002,4.3,112,Prime Video,Alemán,España,Martin Scorsese,PG,2479471,49.0,31.9,-17.1,Brad Pitt,Marvel Studios,2002-08-21,Una comedia hilarante sobre las complejidades de la vida cotidiana.
19506,La terminal de los secretos Vol. 2,Película,"C.Ficción, Crimen, Suspenso",1972,5.7,164,Netflix,Inglés,USA,Martin Scorsese,PG-13,2472005,177.5,273.0,95.5,Tom Hanks,Netflix Studio,1972-08-24,Un misterio escalofriante que desvela secretos familiares ocultos.
19507,Donut Chart Adventure (2001),Película,"Comedia, Terror",2001,8.1,197,Netflix,Español,Japón,Hayao Miyazaki,PG,5153,25.9,108.9,83.0,Joaquin Phoenix,Marvel Studios,2001-01-05,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
19508,La casa de código Vol. 2,Serie,"Documental, Fantasía",2011,6.2,20,"Netflix, HBO Max",Español,Canadá,Christopher Nolan,G,506337,197.4,329.7,132.3,Robert Downey Jr.,Walt Disney Studios,2011-05-20,Un análisis profundo del impacto social e histórico de las grandes eras.
19509,Avatar: Renderizado (1983),Película,"Suspenso, C.Ficción, Acción",1983,9.5,195,"Disney+, HBO Max",Español,Canadá,Martin Scorsese,PG-13,2393679,32.9,58.1,25.2,Cillian Murphy,Walt Disney Studios,1983-08-15,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
19510,Donut Chart Adventure Vol. 1,Serie,Drama,2005,8.0,22,Netflix,Francés,Reino Unido,Hayao Miyazaki,R,1693637,97.8,276.8,179.0,Leonardo DiCaprio,Universal Pictures,2005-08-27,Un misterio escalofriante que desvela secretos familiares ocultos.
19511,Parque de Servidores Vol. 4,Película,"Fantasía, Aventura",1978,7.4,148,Apple TV+,Alemán,Reino Unido,Denis Villeneuve,NC-17,1996709,56.5,34.6,-21.9,Natalie Portman,Walt Disney Studios,1978-07-23,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
19512,Búsqueda Binaria (2018),Serie,"Crimen, Terror",2018,6.2,52,"Disney+, Prime Video",Portugués,Francia,Martin Scorsese,PG-13,298333,235.4,634.2,398.8,Meryl Streep,Paramount Pictures,2018-01-07,Un drama conmovedor que explora los límites de la mente y la tecnología.
